"Comment","Designator","Footprint","LCSC Part #"
"CR1220","BT1","Hellen:CR1220-2","C70381"
"B5819W","D1","Hellen:SOD-123","C8598"
"B5819W","D2","Hellen:SOD-123","C8598"
"B5819W","D3","Hellen:SOD-123","C8598"
"B5819W","D4","Hellen:SOD-123","C8598"
"B5819W","D5","Hellen:SOD-123","C8598"
"B5819W","D6","Hellen:SOD-123","C8598"
"B5819W","D7","Hellen:SOD-123","C8598"
"B5819W","D8","Hellen:SOD-123","C8598"
"B5819W","D9","Hellen:SOD-123","C8598"
"B5819W","D10","Hellen:SOD-123","C8598"
"1N4148WS","D11","Hellen:SOD-323","C2128"
"12H1500D","F1","Hellen:PAD-1206-PAD","C182446"
"LOGO","G1","Hellen:LOGO",""
"LOGO","G2","PRO_LOGO:PRO_LOGO",""
"6437288-1","J1","6437288-1:TE_6437288-1",""
"USB","J2","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C5305780"
"Module:mega-mcu100/0.3","M1","Hellen:mega-mcu100",""
"Module-power_12and5V-0.2","M2","Hellen:power_12and5V",""
"4.7k","R1","Hellen:R0603","C23162"
"4.7k","R2","Hellen:R0603","C23162"
"4.7k","R3","Hellen:R0603","C23162"
"4.7k","R4","Hellen:R0603","C23162"
"4.7k","R5","Hellen:R0603","C23162"
"4.7k","R6","Hellen:R0603","C23162"
"4.7k","R7","Hellen:R0603","C23162"
"4.7k","R8","Hellen:R0603","C23162"
"4.7k","R9","Hellen:R0603","C23162"
"4.7k","R10","Hellen:R0603","C23162"
"33k","R11","Hellen:R0603","C4216"
"6.8k","R12","Hellen:R0603","C23212"
"0","R13","Hellen:R0805","C17477"
"2k7","R14","Hellen:R0805","C17530"
"2k7","R15","Hellen:R0805","C17530"
"2k7","R16","Hellen:R0805","C17530"
"2k7","R17","Hellen:R0805","C17530"
"2k7","R18","Hellen:R0805","C17530"
"2k7","R19","Hellen:R0805","C17530"
"2k7","R20","Hellen:R0805","C17530"
"2k7","R21","Hellen:R0805","C17530"
"VBUS","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"+5V","TP2","TestPoint:TestPoint_Pad_D1.0mm",""
"GND","TP3","TestPoint:TestPoint_Pad_D2.0mm",""
"+5VP","TP4","TestPoint:TestPoint_Pad_D1.0mm",""
"GNDA","TP5","TestPoint:TestPoint_Pad_D1.0mm",""
"+3.3V","TP7","TestPoint:TestPoint_Pad_D1.0mm",""
"CANH","TP9","TestPoint:TestPoint_Pad_D1.0mm",""
"CANL","TP10","TestPoint:TestPoint_Pad_D1.0mm",""
"SWON","TP11","TestPoint:TestPoint_Pad_D1.0mm",""
"VNLD5160TR-E","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U4","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"LTV-247","U6","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","C115451"
"LTV-247","U7","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","C115451"
